nombre,email,rol,contraseña_plana
"Protasio Marcial",protasio.marcial64@test.com,invitado,4cVCzQAm
"Luzdivino Elso",luzdivino.elso65@test.com,admin,vcM4oUNl
"Cojoncio Ruiz",cojoncio.ruiz66@test.com,invitado,5eYKFoXw
"Hoshiko Masson",hoshiko.masson67@test.com,estudiante,Lo2ev6rk
"Pantaleón Arsenio",pantaleón.arsenio68@test.com,invitado,pZPfv6rG
"Aitor Madarame",aitor.madarame69@test.com,admin,1NH7pC6d
"Peter Pichilengue",peter.pichilengue70@test.com,invitado,FzhaAY7X
"Seitaro Arnulfo",seitaro.arnulfo71@test.com,estudiante,Dh0Y5P7u
"Cojoncio Bonifacio",cojoncio.bonifacio72@test.com,estudiante,78EkRmUC
"Aaron Ishikawa",aaron.ishikawa73@test.com,admin,1Rya02hc
"Etsuko Perroverde",etsuko.perroverde74@test.com,invitado,xgqTDaZv
"Sarah Jurado",sarah.jurado75@test.com,estudiante,r2wPMCeV
"Elena Leona",elena.leona76@test.com,admin,UB7L8hnS
"Hiroshi Cipriniano",hiroshi.cipriniano77@test.com,estudiante,9qwVnT4X
"Duncan Artemisa",duncan.artemisa78@test.com,estudiante,G59Pcd34
"Abraham Marchand",abraham.marchand79@test.com,invitado,PcCU2IYd
"Raquel Alyona",raquel.alyona80@test.com,invitado,q06gd4mS
"Alba Pantaleona",alba.pantaleona81@test.com,invitado,FcOJHal1
"Ryu de la Marina",ryu.de.la.marina82@test.com,estudiante,JCDLvikr
"Sakura Protasio",sakura.protasio83@test.com,admin,lPE6cHs0
"Lambert Ladislao",lambert.ladislao84@test.com,estudiante,nMbBA6qe
"Chevalier Díaz",chevalier.díaz85@test.com,admin,AWvq3RnX
"Abba Leroy",abba.leroy86@test.com,invitado,CXg4ADbF
"Andrés  Mihura",andrés..mihura87@test.com,invitado,vpANagh7
"Sara Alegre",sara.alegre88@test.com,invitado,iq6RA9bz
"Abraham Flores",abraham.flores89@test.com,invitado,X26pRE1T
"Iker Kimura",iker.kimura90@test.com,admin,bGa5ykQo
"Rúben Chinchurreta",rúben.chinchurreta91@test.com,estudiante,K3kIlZgf
"Drac Suzuki",drac.suzuki92@test.com,admin,cOD9qYia
"Jofre Burgundófora",jofre.burgundófora93@test.com,admin,HysjCPN7
"Lambert Imagawa",lambert.imagawa94@test.com,estudiante,EMdNHx7D
"Blanc Gómez",blanc.gómez95@test.com,admin,sHSEvDAL
"Pantaleona Mizoguchi",pantaleona.mizoguchi96@test.com,admin,zq5ItBfp
"Altagracia Moto",altagracia.moto97@test.com,estudiante,dS4JLYsD
"Mark Golon",mark.golon98@test.com,invitado,1R3iT7rg
"Abba Moreau",abba.moreau99@test.com,invitado,DtR0UvmI
